Id,Label,Modularity Class
301103536567140,,352
163239370367173,,352
22747166922,,383
93588635430,,352
150480644979911,,352
233883229959574,,352
88164817092,,352
69717994787,,352
117682905290,,352
197947375013,,352
306744750525,,352
191698714208300,,352
126791157335858,,352
186627418496,,352
144376378794,,352
205689472787809,,352
57419343393,,352
166226473437947,,277
355957000874,,277
175634045845838,,142
117260361672066,,142
21349752915,,2
172620659469617,,2
111162275631834,,2
41182871633,,2
304948803922,,3
109777402377223,,352
204605456226828,,352
179464855419381,,352
160726270691484,,352
165296673500632,,352
103996859637135,,352
128561963883021,,352
114932788522195,,352
41891292349,,352
311203865605308,,352
217049635055179,,352
18351457517,,352
203216483050530,,352
113842875308104,,352
107468149302250,,352
116139898451772,,352
102289574801,,352
208224405856207,,352
133851723322042,,352
112368408816944,,352
241786842170,,352
109046282466977,,142
154949907928978,,142
342395399184937,,142
387711674653109,,142
204235716289078,,142
468752076505229,,142
156238947743467,,142
302925073125616,,142
118050208205799,,142
109001872469152,,142
418169884917326,,142
115434655158110,,142
196924537001110,,142
127176294077270,,142
10560089737,,142
554011167987027,,142
142008462493008,,142
110693465622010,,142
290800684285414,,183
246664805360501,,183
186390698077271,,183
545321368829792,,142
289153347876977,,142
365183413551465,,142
198095376947576,,142
339136949782,,142
65826141591,,142
156819934375673,,142
132364840819,,142
153633941447740,,142
225288050944320,,142
130501790345895,,142
129978260435218,,142
299891930088791,,142
66408815026,,353
254719827388,,353
111783969059,,353
315218907790,,353
211844342207,,353
103774822049,,353
141563247267,,353
128628242021,,353
377758226007,,353
227699387845,,353
210629469079672,,633
242742819195735,,633
464359160292100,,633
27125224616,,633
14893370225,,633
114830251911840,,633
36543730620,,633
212102705512471,,633
194620133889100,,633
109681395720937,,633
103397433078788,,633
107549862608715,,633
139546259391933,,633
112094185474904,,633
16620504117,,633
372222251667,,633
120129294669924,,633
103724926332815,,633
198419096858275,,633
106013732770536,,633
177669978990631,,15
44450728025,,15
112864705426863,,15
236631509802886,,15
45475055696,,15
329755613779921,,15
435148839872800,,15
203481361001,,15
203302321139,,15
285508924794485,,15
146663948678169,,15
230583130330841,,15
54439461938,,15
