Id,Label,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eigenvector Centrality
241786842170,,352,0,2,2,3.0,0.0,3.0,0.0
109046282466977,,142,0,1,1,1.0,0.0,1.0,0.0
154949907928978,,142,0,1,1,1.0,0.0,1.0,0.0
342395399184937,,142,0,1,1,1.0,0.0,1.0,0.0
387711674653109,,142,0,1,1,1.0,0.0,1.0,0.0
204235716289078,,142,0,1,1,1.0,0.0,1.0,0.0
468752076505229,,142,0,1,1,1.0,0.0,1.0,0.0
156238947743467,,142,0,1,1,1.0,0.0,1.0,0.0
302925073125616,,142,0,1,1,1.0,0.0,1.0,0.0
118050208205799,,142,0,1,1,1.0,0.0,1.0,0.0
109001872469152,,142,0,1,1,1.0,0.0,1.0,0.0
418169884917326,,142,0,1,1,1.0,0.0,1.0,0.0
115434655158110,,142,0,1,1,1.0,0.0,1.0,0.0
196924537001110,,142,0,1,1,1.0,0.0,1.0,0.0
127176294077270,,142,0,1,1,1.0,0.0,1.0,0.0
10560089737,,142,0,1,1,1.0,0.0,1.0,0.0
554011167987027,,142,0,1,1,1.0,0.0,1.0,0.0
142008462493008,,142,0,1,1,1.0,0.0,1.0,0.0
110693465622010,,142,0,1,1,1.0,0.0,1.0,0.0
290800684285414,,183,0,1,1,2.0,0.0,2.0,0.0
246664805360501,,183,0,2,2,3.0,0.0,3.0,0.0
186390698077271,,183,0,1,1,2.0,0.0,2.0,0.0
545321368829792,,142,0,1,1,1.0,0.0,1.0,0.0
289153347876977,,142,0,1,1,1.0,0.0,1.0,0.0
365183413551465,,142,0,1,1,1.0,0.0,1.0,0.0
198095376947576,,142,0,1,1,1.0,0.0,1.0,0.0
339136949782,,142,0,1,1,1.0,0.0,1.0,0.0
65826141591,,142,0,1,1,1.0,0.0,1.0,0.0
156819934375673,,142,0,1,1,1.0,0.0,1.0,0.0
132364840819,,142,0,1,1,1.0,0.0,1.0,0.0
153633941447740,,142,0,1,1,1.0,0.0,1.0,0.0
225288050944320,,142,0,1,1,1.0,0.0,1.0,0.0
130501790345895,,142,0,1,1,1.0,0.0,1.0,0.0
129978260435218,,142,0,1,1,1.0,0.0,1.0,0.0
299891930088791,,142,0,1,1,1.0,0.0,1.0,0.0
66408815026,,353,0,1,1,2.0,0.0,2.0,0.0
254719827388,,353,0,1,1,2.0,0.0,2.0,0.0
111783969059,,353,0,1,1,2.0,0.0,2.0,0.0
315218907790,,353,0,1,1,2.0,0.0,2.0,0.0
211844342207,,353,0,1,1,2.0,0.0,2.0,0.0
103774822049,,353,0,1,1,2.0,0.0,2.0,0.0
141563247267,,353,0,1,1,2.0,0.0,2.0,0.0
128628242021,,353,0,1,1,2.0,0.0,2.0,0.0
377758226007,,353,0,1,1,2.0,0.0,2.0,0.0
227699387845,,353,0,1,1,2.0,0.0,2.0,0.0
210629469079672,,633,0,1,1,1.0,0.0,1.0,0.0
242742819195735,,633,0,1,1,1.0,0.0,1.0,0.0
464359160292100,,633,0,1,1,1.0,0.0,1.0,0.0
27125224616,,633,0,1,1,1.0,0.0,1.0,0.0
14893370225,,633,0,1,1,1.0,0.0,1.0,0.0
114830251911840,,633,0,1,1,1.0,0.0,1.0,0.0
36543730620,,633,0,1,1,1.0,0.0,1.0,0.0
212102705512471,,633,0,1,1,1.0,0.0,1.0,0.0
194620133889100,,633,0,1,1,1.0,0.0,1.0,0.0
109681395720937,,633,0,1,1,1.0,0.0,1.0,0.0
103397433078788,,633,0,2,2,2.0,0.0,2.0,0.0
107549862608715,,633,0,1,1,1.0,0.0,1.0,0.0
139546259391933,,633,0,1,1,1.0,0.0,1.0,0.0
112094185474904,,633,0,1,1,1.0,0.0,1.0,0.0
16620504117,,633,0,1,1,1.0,0.0,1.0,0.0
372222251667,,633,0,1,1,1.0,0.0,1.0,0.0
120129294669924,,633,0,1,1,1.0,0.0,1.0,0.0
103724926332815,,633,0,1,1,1.0,0.0,1.0,0.0
198419096858275,,633,0,1,1,1.0,0.0,1.0,0.0
106013732770536,,633,0,1,1,1.0,0.0,1.0,0.0
177669978990631,,15,0,1,1,2.0,0.0,2.0,0.0
44450728025,,15,0,2,2,4.0,0.0,4.0,0.0
112864705426863,,15,0,1,1,2.0,0.0,2.0,0.0
236631509802886,,15,0,1,1,2.0,0.0,2.0,0.0
45475055696,,15,0,1,1,2.0,0.0,2.0,0.0
329755613779921,,15,0,1,1,2.0,0.0,2.0,0.0
435148839872800,,15,0,1,1,2.0,0.0,2.0,0.0
203481361001,,15,0,1,1,2.0,0.0,2.0,0.0
203302321139,,15,0,1,1,2.0,0.0,2.0,0.0
285508924794485,,15,0,1,1,2.0,0.0,2.0,0.0
146663948678169,,15,0,1,1,2.0,0.0,2.0,0.0
230583130330841,,15,0,1,1,2.0,0.0,2.0,0.0
54439461938,,15,0,1,1,2.0,0.0,2.0,0.0
126120367092,,15,0,1,1,2.0,0.0,2.0,0.0
217709814910545,,15,0,2,2,3.0,0.0,3.0,0.0
118121974906087,,15,0,1,1,2.0,0.0,2.0,0.0
72234657305,,15,0,1,1,2.0,0.0,2.0,0.0
29385622792,,15,0,1,1,2.0,0.0,2.0,0.0
253744891315222,,15,0,1,1,2.0,0.0,2.0,0.0
117291251702,,4,0,1,1,1.0,0.0,1.0,0.0
210200745712,,592,0,1,1,1.0,0.0,1.0,0.0
54885376941,,592,0,1,1,1.0,0.0,1.0,0.0
113430362040,,592,0,1,1,1.0,0.0,1.0,0.0
566080800118649,,592,0,1,1,1.0,0.0,1.0,0.0
181152466340,,592,0,1,1,1.0,0.0,1.0,0.0
128259900521436,,592,0,1,1,1.0,0.0,1.0,0.0
111933198826503,,592,0,1,1,1.0,0.0,1.0,0.0
373303406806,,592,0,1,1,1.0,0.0,1.0,0.0
109886462363571,,592,0,1,1,1.0,0.0,1.0,0.0
9588500527,,592,0,1,1,1.0,0.0,1.0,0.0
199647076824,,592,0,1,1,1.0,0.0,1.0,0.0
137878916179,,592,0,1,1,1.0,0.0,1.0,0.0
270262795393,,592,0,1,1,1.0,0.0,1.0,0.0
51217564556,,592,0,1,1,1.0,0.0,1.0,0.0
69913107493,,592,0,1,1,1.0,0.0,1.0,0.0
188293271191201,,592,0,1,1,1.0,0.0,1.0,0.0
124714883965,,592,0,1,1,1.0,0.0,1.0,0.0
94418090418,,592,0,1,1,1.0,0.0,1.0,0.0
24005897223,,592,0,1,1,1.0,0.0,1.0,0.0
295630334336,,592,0,1,1,1.0,0.0,1.0,0.0
100881283309984,,592,0,1,1,1.0,0.0,1.0,0.0
195991440113,,592,0,1,1,1.0,0.0,1.0,0.0
267881748208,,592,0,1,1,1.0,0.0,1.0,0.0
152079674754,,592,0,1,1,1.0,0.0,1.0,0.0
113308422036733,,193,0,1,1,1.0,0.0,1.0,0.0
42772483388,,193,0,2,2,2.0,0.0,2.0,0.0
142849636046,,193,0,1,1,1.0,0.0,1.0,0.0
145932486683,,193,0,1,1,1.0,0.0,1.0,0.0
168049486544768,,142,0,1,1,1.0,0.0,1.0,0.0
118839478171924,,142,0,1,1,1.0,0.0,1.0,0.0
439627782787214,,142,0,1,1,1.0,0.0,1.0,0.0
287041040187,,142,0,1,1,1.0,0.0,1.0,0.0
275560669273849,,142,0,1,1,1.0,0.0,1.0,0.0
104461279417,,142,0,1,1,1.0,0.0,1.0,0.0
189911737868335,,15,0,3,3,4.0,0.0,4.0,0.0
290849834376518,,142,0,1,1,1.0,0.0,1.0,0.0
502145736482789,,142,0,1,1,1.0,0.0,1.0,0.0
188980077899040,,142,0,1,1,1.0,0.0,1.0,0.0
444611612318393,,142,0,1,1,1.0,0.0,1.0,0.0
124344740951625,,142,0,1,1,1.0,0.0,1.0,0.0
352768869390,,15,0,2,2,2.0,0.0,2.0,0.0
299287313434700,,142,0,1,1,1.0,0.0,1.0,0.0
358563601567,,142,0,1,1,1.0,0.0,1.0,0.0
110544882430617,,142,0,1,1,1.0,0.0,1.0,0.0
123496746909,,142,0,1,1,1.0,0.0,1.0,0.0
305157079593937,,142,0,1,1,1.0,0.0,1.0,0.0
62744719767,,142,0,1,1,1.0,0.0,1.0,0.0
209375542458364,,142,0,1,1,1.0,0.0,1.0,0.0
150318114978250,,142,0,1,1,1.0,0.0,1.0,0.0
112780898759687,,142,0,1,1,1.0,0.0,1.0,0.0
190917516789,,142,0,1,1,1.0,0.0,1.0,0.0
144888189021390,,142,0,1,1,1.0,0.0,1.0,0.0
105800986120788,,142,0,1,1,1.0,0.0,1.0,0.0
232192473600605,,142,0,1,1,1.0,0.0,1.0,0.0
353292014758168,,142,0,1,1,1.0,0.0,1.0,0.0
275089350875,,142,0,1,1,1.0,0.0,1.0,0.0
169680816410281,,142,0,1,1,1.0,0.0,1.0,0.0
117468258271307,,142,0,1,1,1.0,0.0,1.0,0.0
106276149417106,,142,0,1,1,1.0,0.0,1.0,0.0
104094236292935,,142,0,1,1,1.0,0.0,1.0,0.0
105916566143389,,142,0,1,1,1.0,0.0,1.0,0.0
